points_3game_avg,points_5game_avg,fga_3game_avg,game_number,def_rating,opp_pts_allowed,pace,is_home_game,target
4.0,5.6,3.6666666666666665,14,111.1,0.0,99.46,0.0,0
2.6666666666666665,4.8,3.6666666666666665,15,111.1,0.0,99.46,0.0,0
2.0,3.2,3.3333333333333335,16,111.1,0.0,99.46,0.0,0
2.0,2.4,2.0,17,111.1,0.0,99.46,0.0,1
2.3333333333333335,2.2,1.6666666666666667,18,111.1,0.0,99.46,0.0,1
5.0,3.8,4.0,19,111.1,0.0,99.46,0.0,1
7.0,5.0,5.333333333333333,20,111.1,0.0,99.46,0.0,1
6.666666666666667,5.0,6.0,21,111.1,0.0,99.46,0.0,0
6.0,6.2,5.0,22,111.1,0.0,99.46,0.0,1
6.0,7.2,5.0,23,111.1,0.0,99.46,0.0,0
6.0,5.6,5.0,24,111.1,0.0,99.46,0.0,0
4.0,4.4,3.6666666666666665,25,111.1,0.0,99.46,0.0,0
1.3333333333333333,4.0,2.0,26,111.1,0.0,99.46,0.0,0
2.0,3.2,2.0,27,111.1,0.0,99.46,0.0,1
3.3333333333333335,2.8,2.3333333333333335,28,111.1,0.0,99.46,0.0,1
3.6666666666666665,2.6,3.0,29,111.1,0.0,99.46,0.0,0
3.0,2.6,2.3333333333333335,30,111.1,0.0,99.46,0.0,0
1.0,2.6,1.3333333333333333,31,111.1,0.0,99.46,0.0,0
0.6666666666666666,1.8,0.6666666666666666,32,111.1,0.0,99.46,0.0,0
0.6666666666666666,1.0,1.0,33,111.1,0.0,99.46,0.0,1
0.6666666666666666,0.8,1.3333333333333333,34,111.1,0.0,99.46,0.0,0
1.3333333333333333,0.8,1.3333333333333333,35,111.1,0.0,99.46,0.0,1
0.6666666666666666,0.8,0.3333333333333333,36,111.1,0.0,99.46,0.0,0
0.6666666666666666,0.8,0.0,37,111.1,0.0,99.46,0.0,0
0.6666666666666666,0.8,0.3333333333333333,38,111.1,0.0,99.46,0.0,1
2.6666666666666665,2.0,1.3333333333333333,39,111.1,0.0,99.46,0.0,1
4.666666666666667,2.8,2.6666666666666665,40,111.1,0.0,99.46,0.0,1
13.0,13.0,12.0,1,106.7,0.0,100.82,1.0,1
18.5,18.5,14.5,2,106.7,0.0,100.82,1.0,1
17.333333333333332,17.333333333333332,15.333333333333334,3,106.7,0.0,100.82,1.0,0
18.333333333333332,17.0,15.333333333333334,4,106.7,0.0,100.82,1.0,0
15.0,16.4,12.666666666666666,5,106.7,0.0,100.82,1.0,0
12.0,15.0,7.666666666666667,6,106.7,0.0,100.82,1.0,0
8.666666666666666,11.4,6.333333333333333,7,106.7,0.0,100.82,1.0,0
12.333333333333334,13.4,7.666666666666667,8,106.7,0.0,100.82,1.0,1
17.333333333333332,14.4,12.333333333333334,9,106.7,0.0,100.82,1.0,1
22.333333333333332,15.8,16.333333333333332,10,106.7,0.0,100.82,1.0,1
22.333333333333332,19.6,18.0,11,106.7,0.0,100.82,1.0,1
19.333333333333332,20.8,16.666666666666668,12,106.7,0.0,100.82,1.0,0
17.333333333333332,18.8,15.0,13,106.7,0.0,100.82,1.0,0
21.333333333333332,22.0,16.0,14,106.7,0.0,100.82,1.0,1
25.0,22.4,16.333333333333332,15,106.7,0.0,100.82,1.0,1
24.333333333333332,20.0,16.0,16,106.7,0.0,100.82,1.0,0
16.333333333333332,20.2,13.0,17,106.7,0.0,100.82,1.0,0
17.0,22.2,14.0,18,106.7,0.0,100.82,1.0,1
18.666666666666668,18.4,15.0,19,106.7,0.0,100.82,1.0,1
21.0,17.8,16.0,20,106.7,0.0,100.82,1.0,1
16.666666666666668,17.6,15.0,21,106.7,0.0,100.82,1.0,0
13.666666666666666,16.8,13.666666666666666,22,106.7,0.0,100.82,1.0,0
13.333333333333334,15.6,15.666666666666666,23,106.7,0.0,100.82,1.0,1
13.333333333333334,14.4,14.0,24,106.7,0.0,100.82,1.0,0
15.0,13.2,15.0,25,106.7,0.0,100.82,1.0,0
23.0,19.4,15.0,26,106.7,0.0,100.82,1.0,1
27.333333333333332,22.6,19.666666666666668,27,106.7,0.0,100.82,1.0,1
32.666666666666664,24.8,21.333333333333332,28,106.7,0.0,100.82,1.0,1
23.333333333333332,25.4,19.666666666666668,29,106.7,0.0,100.82,1.0,0
16.666666666666668,23.6,13.0,30,106.7,0.0,100.82,1.0,0
9.0,16.4,8.0,31,106.7,0.0,100.82,1.0,0
14.333333333333334,17.6,7.333333333333333,32,106.7,0.0,100.82,1.0,1
18.0,14.8,12.666666666666666,33,106.7,0.0,100.82,1.0,1
22.333333333333332,15.8,16.0,34,106.7,0.0,100.82,1.0,1
20.333333333333332,19.8,18.0,35,106.7,0.0,100.82,1.0,1
23.0,23.2,18.333333333333332,36,106.7,0.0,100.82,1.0,1
23.666666666666668,21.4,18.666666666666668,37,106.7,0.0,100.82,1.0,0
20.333333333333332,21.2,15.666666666666666,38,106.7,0.0,100.82,1.0,0
21.666666666666668,22.8,14.333333333333334,39,106.7,0.0,100.82,1.0,1
15.333333333333334,18.4,10.666666666666666,40,106.7,0.0,100.82,1.0,0
14.333333333333334,16.0,9.333333333333334,41,106.7,0.0,100.82,1.0,0
9.333333333333334,14.2,7.666666666666667,42,106.7,0.0,100.82,1.0,0
11.333333333333334,13.0,9.333333333333334,43,106.7,0.0,100.82,1.0,0
10.666666666666666,9.4,10.666666666666666,44,106.7,0.0,100.82,1.0,0
11.333333333333334,11.8,11.666666666666666,45,106.7,0.0,100.82,1.0,1
12.666666666666666,12.0,10.666666666666666,46,106.7,0.0,100.82,1.0,1
11.666666666666666,10.8,10.0,47,106.7,0.0,100.82,1.0,0
11.333333333333334,11.8,8.666666666666666,48,106.7,0.0,100.82,1.0,1
18.0,16.4,12.333333333333334,49,106.7,0.0,100.82,1.0,1
22.0,17.2,13.666666666666666,50,106.7,0.0,100.82,1.0,1
26.0,19.8,16.333333333333332,51,106.7,0.0,100.82,1.0,1
21.666666666666668,22.4,14.333333333333334,52,106.7,0.0,100.82,1.0,0
27.333333333333332,26.8,17.0,53,106.7,0.0,100.82,1.0,1
33.0,33.0,16.0,1,111.1,0.0,99.46,0.0,0
21.5,21.5,10.5,2,111.1,0.0,99.46,0.0,0
17.0,17.0,10.0,3,111.1,0.0,99.46,0.0,0
10.666666666666666,16.25,7.333333333333333,4,111.1,0.0,99.46,0.0,0
11.666666666666666,15.6,8.0,5,111.1,0.0,99.46,0.0,0
